ID,Experiencia (años),Rendimiento personal,Soft skills,Carga de trabajo,Habilidades técnicas
39,14,3.18,1.15,9.83,"{'JIRA': 6.59, 'TextBlob': 8.26, 'java': 5.52, 'trello': 5.02, 'Supervisely': 5.01, 'CRNN': 9.09, 'PyCaret': 4.26, 'Keras': 7.72, 'django': 3.55, 'apache spark': 7.9}"
40,18,9.81,3.05,2.97,"{'Faster R-CNN': 0.43, 'TextBlob': 0.59, 'Collaborative Filtering': 3.23, 'Docker': 7.54, 'LIWC': 9.76, 'DALL-E': 0.41, 'pytorch': 9.11, 'Linear Regression': 0.76, 'api documentation': 7.46, 'scikit-learn': 9.2}"
41,18,2.92,8.15,3.82,"{'bootstrap': 0.9, 'WCAG': 0.64, 'kotlin': 3.81, 'Sketch': 3.79, 'foundation': 1.86, 'CNN': 0.04, 'Tableau': 6.21, 'LIWC': 6.9, 'Collaborative Filtering': 3.23, 'aws': 7.45}"
42,6,7.2,2.34,2.89,"{'postgresql': 0.72, 'vue': 9.13, 'jquery': 0.58, 'sqlite': 8.3, 'c': 8.68, 'LightGBM': 2.74, 'ember.js': 8.83, 'testing library': 3.43, 'UX': 7.37, 'jest': 7.41}"
43,8,0.05,4.21,6.84,"{'MarianMT': 6.46, 'Logistic Regression': 6.14, 'Apache Flink': 7.15, 'scala': 1.62, 'NetworkX': 1.47, 'AWS': 3.78, 'JWT': 3.44, 'trello': 0.53, 'docker': 8.69, 'sass': 0.76}"
44,2,9.35,7.63,6.74,"{'mongoDB': 5.46, 'ARIMA': 4.17, 'Figma': 9.12, 'SpaCy': 5.45, 'Stable Baselines': 6.36, 'kotlin': 0.55, 'RiskMatrix': 0.74, 'aws': 3.07, 'Praat': 5.98, 'testing library': 4.18}"
45,11,4.55,4.92,0.66,"{'JIRA': 0.23, 'Facebook Prophet': 6.19, 'mongoDB': 2.72, 'Proximal Policy Optimization': 0.1, 'RNN': 8.91, 'CRNN': 5.18, 'prometheus': 3.77, 'PCA': 1.25, 'RiskMatrix': 4.88, 'Kubernetes': 10.0}"
46,4,7.16,2.02,8.0,"{'RiskMatrix': 8.49, 'Facebook Prophet': 2.87, 'server configuration': 7.39, 'markdown': 6.79, 'redis': 2.15, 'monitoring': 1.34, 'Show and Tell': 8.38, 'postgresql': 9.29, 'readthedocs': 0.75, 'vue': 8.27}"
47,5,3.22,2.03,1.17,"{'Librosa': 4.92, 'YOLOv4': 3.85, 'Slack': 7.68, 'SpaCy': 4.78, 'Supervisely': 7.99, 'GPT-2 Fine-Tuning': 0.45, 'kotlin': 1.95, 'PCA': 3.0, 'NeuralStyle': 3.1, 'spaCy': 4.48}"
48,2,5.05,0.41,1.69,"{'trello': 1.97, 'Jenkins': 5.73, 'Tesseract': 1.13, 'Tacotron': 6.67, 'css': 9.0, 'Apache Spark': 8.37, 'html': 1.2, 'microsoft project': 2.34, 'TensorFlow Lite': 5.2, 'AWS': 3.36}"
49,9,2.78,2.1,0.22,"{'redis': 2.1, 'Alibi Detect': 5.99, 'Selenium': 3.64, 'SpaCy': 8.61, 'go': 7.37, 'sphinx': 5.7, 'Sentence-BERT': 6.41, 'LightGBM': 2.66, 'Transformer': 1.64, 'NeuralStyle': 2.53}"
50,10,2.4,3.31,3.73,"{'node.js': 4.08, 'SV2TTS': 5.52, 'asp.net': 3.64, 'pytest': 5.3, 'Elasticsearch': 5.49, 'tensorflow': 0.95, 'NetworkX': 7.67, 'PostgreSQL': 9.5, 'GPT-2 Fine-Tuning': 0.71, 'Adobe XD': 9.96}"
51,14,6.29,0.76,5.76,"{'MobileNet': 7.81, 'BorutaPy': 7.36, 'asciidoc': 5.74, 'gsap': 9.04, 'Matrix Factorization': 4.85, 'Keras': 1.23, 'Dlib': 6.9, 'GPT-2 Fine-Tuning': 0.93, 'LDA': 2.04, 'BERT': 0.92}"
52,6,2.79,9.6,0.51,"{'redis': 8.15, 'bash': 1.77, 'XGBoost': 0.52, 'SORT': 6.56, 'Tacotron': 7.27, 'H2O.ai': 1.02, 'TensorFlow-GAN': 1.48, 'FER (Facial Expression Recognition)': 0.71, 'user-friendly': 3.95, 'Jenkins': 7.75}"
53,10,3.61,8.66,5.94,"{'NetworkX': 7.84, 'chai': 0.04, 'selenium': 0.43, 'database': 5.74, 'Isolation Forest': 9.93, 'TensorFlow': 3.74, 'H2O.ai': 5.52, 'react': 4.91, 'kotlin': 1.67, 'Linear Regression': 5.68}"
54,9,5.61,2.21,8.21,"{'confluence': 2.85, 'TensorFlow-GAN': 3.14, 'Carla': 3.24, 'chai': 9.25, 'azure': 3.22, 'K-Means': 4.61, 'Recurrent Neural Networks (RNN)': 2.82, 'scrum': 3.21, 'JMeter': 7.13, 'pytest': 9.15}"
55,3,0.39,1.23,0.79,"{'NeuralStyle': 7.9, 'K-Means': 3.34, 'agile': 9.2, 'Supervisely': 8.81, 'Trello': 4.11, 'tensorflow': 4.27, 'Cleverhans': 0.94, 'jwt': 5.31, 'Optuna': 2.08, 'ruby': 1.63}"
56,12,9.16,2.17,6.38,"{'tensorflow': 5.95, 'StyleGAN': 2.69, 'UX': 9.71, 'ADTK': 8.91, 'DeepRecSys': 1.53, 'Apache Flink': 2.55, 'markdown': 3.23, 'CRNN': 2.44, 'php': 6.32, 'MySQL': 3.51}"
57,17,3.86,1.02,2.22,"{'K-Means': 4.62, 'UX': 1.86, 'BorutaPy': 3.71, 'html': 3.13, 'GPT-2 Fine-Tuning': 6.52, 'mysql': 1.86, 'Tableau': 0.79, 'IsolationForest': 1.78, 'StyleGAN': 6.19, 'monitoring': 0.07}"
58,0,5.56,2.69,0.5,"{'Trello': 3.26, 'BioBERT': 3.88, 'MarianMT': 1.62, 'MediaPipe': 3.08, 'FER (Facial Expression Recognition)': 3.11, 'version control': 6.28, 'jquery': 4.48, 'apache spark': 3.23, 'JIRA': 2.5, 'XGBoost': 0.41}"
59,2,2.19,0.31,8.15,"{'jira': 8.85, 'continuous integration': 6.88, 'MobileNet': 5.28, 'YOLO': 6.2, 'ARIMA': 3.28, 'scikit-multilearn': 1.35, 'oracle': 1.52, 'redux': 6.05, 'pytest': 7.78, 'TensorFlow Lite': 0.45}"
60,4,4.97,1.07,6.95,"{'storage': 7.31, 'NetworkX': 1.78, 'Librosa': 1.23, 'Prophet': 1.11, 'Adobe XD': 4.58, 'OpenKE': 3.29, 'FeatureTools': 3.79, 'firebase': 6.51, 'JWT': 8.62, 'Augmentor': 2.69}"
61,4,6.89,3.95,7.01,"{'asp.net': 9.15, 'webpack': 4.3, 'SORT': 8.93, 'RandomForest': 4.05, 'Recurrent Neural Networks (RNN)': 3.43, 'YOLOv5': 4.13, 'Figma': 7.23, 'jenkins': 9.93, 'html': 8.84, 'Supervisely': 2.1}"
62,7,7.63,6.58,8.69,"{'apache spark': 1.93, 'IsolationForest': 2.2, 'BioBERT': 0.85, 'OpenKE': 1.58, 'trello': 3.39, 'sphinx': 0.39, 'OpenPose': 6.32, 'GPT-2': 0.19, 'Isolation Forest': 6.13, 'webpack': 7.86}"
63,7,3.13,7.15,1.38,"{'GPT-2': 6.12, 'flask': 9.09, 'microsoft project': 2.07, 'Supervisely': 4.34, 'mongoDB': 5.55, 'MediaPipe': 6.59, 'Linear Regression': 1.17, 'MarianMT': 0.55, 'ADTK': 7.54, 'continuous integration': 3.92}"
64,18,1.01,0.81,9.04,"{'BERT': 5.19, 'UserTesting': 4.1, 'DQN': 3.66, 'Slack': 3.47, 'react': 9.16, 'XGBoost': 7.8, 'mocha': 7.91, 'YOLO': 3.12, 'jira': 7.06, 'Jenkins': 3.34}"
65,10,1.29,7.51,6.79,"{'foundation': 9.94, 'DQN': 1.11, 'jenkins': 5.73, 'Proximal Policy Optimization': 8.61, 'Librosa': 6.45, 'angular': 1.58, 'microsoft project': 3.84, 'Dialogflow': 0.12, 'cassandra': 4.08, 'terraform': 3.72}"
66,7,1.28,7.22,5.61,"{'Apache Spark': 4.92, 'mongoDB': 3.84, 'laravel': 1.04, 'GitLab': 1.24, 'Labelbox': 5.72, 'Faster R-CNN': 4.93, 'version control': 4.45, 'Show and Tell': 4.4, 'aws': 8.9, 'jest': 9.88}"
67,7,4.52,0.31,6.15,"{'MySQL': 1.97, 'JIRA': 2.08, 'elasticsearch': 3.19, 'Tesseract': 4.97, 'mocha': 1.24, 'EfficientNet': 2.96, 'R': 4.51, 'MarianMT': 4.64, 'foundation': 1.91, 'DeepSpeech': 4.96}"
68,0,0.71,9.95,6.88,"{'ALS': 2.3, 'Tesseract': 7.2, 'MobileNet': 0.16, 'load balancing': 8.37, 'Adobe XD': 5.26, 'Polyglot': 2.38, 'Python': 7.87, 'DQN': 5.66, 'javascript': 5.67, 'Prometheus': 5.83}"
69,1,0.96,0.52,6.32,"{'mongodb': 1.41, 'puppet': 1.19, 'spring boot': 9.0, 'LightGBM': 1.0, 'Kubeflow': 1.59, 'java': 1.62, 'TensorFlow': 7.25, 'kubernetes': 7.76, 'DeepRecSys': 5.37, 'scrum': 9.03}"
70,5,8.23,7.35,5.98,"{'aria': 1.32, 'trello': 6.84, 'BM25': 3.73, 'Zero-shot BERT': 0.23, 'technical writing': 6.1, 'Tesseract': 6.81, 'Selenium': 8.96, 'django': 7.43, 'Prophet': 2.21, 'RNN': 3.64}"
71,3,9.83,2.82,1.52,"{'continuous integration': 4.76, 'kanban': 9.01, 'Wave-U-Net': 4.27, 'angular': 5.39, 'DeOldify': 3.0, 'NLTK': 2.72, 'PCA': 0.75, 'Logistic Regression': 0.11, 'react': 0.05, 'FER (Facial Expression Recognition)': 5.78}"
72,1,7.18,8.33,5.2,"{'Apache Flink': 6.51, 'TensorFlow-GAN': 5.38, 'OpenKE': 0.32, 'Kubeflow': 6.68, 'CNN': 7.35, 'Kubernetes': 8.75, 'AWS': 8.93, 'Alibi Detect': 3.52, 'foundation': 7.29, 'junit': 2.3}"
73,5,4.71,0.44,4.89,"{'sql': 5.11, 'rust': 4.95, 'Facebook Prophet': 4.4, 'Carla': 1.7, 'elasticsearch': 0.34, 'Prophet': 0.02, 'ESRGAN': 8.86, 'Elasticsearch': 6.52, 'pytest': 1.63, 'junit': 4.54}"
74,0,8.06,9.72,2.86,"{'cassandra': 1.19, 'aria': 5.39, 'Hugging Face': 3.6, 'ruby': 2.47, 'asp.net': 9.8, 'node.js': 7.77, 'JUnit': 7.98, 'Kubeflow': 0.62, 'Collaborative Filtering': 9.9, 'Matrix Factorization': 3.45}"
75,18,3.01,9.82,8.0,"{'ansible': 9.08, 'Apache Spark': 1.17, 'OpenPose': 8.53, 'ADTK': 1.22, 'aria': 6.72, 'GPT-3': 7.91, 'mocha': 9.73, 'SORT': 0.78, 'sql': 3.18, 'readthedocs': 4.01}"
76,3,0.81,1.61,3.34,"{'tensorflow': 6.75, 'AWS': 9.65, 'Isolation Forest': 2.96, 'Pandas': 2.69, 'google cloud': 6.63, 'scrum': 9.29, 'U-Net': 1.66, 'LightGBM': 1.69, 'Show and Tell': 5.86, 'GPT-2': 8.18}"
77,6,8.15,9.99,7.59,"{'Stable Baselines': 0.7, 'storage': 5.28, 'scrum': 7.16, 'Trello': 7.43, 'sass': 6.74, 'mongodb': 1.04, 'Tacotron': 4.68, 'PyCaret': 2.25, 'materialize': 7.52, 'GPT-3': 0.33}"
78,17,3.16,6.91,4.0,"{'RNN': 0.08, 'version control': 5.18, 'Pandas': 3.69, 'BorutaPy': 7.39, 'Rasa': 9.0, 'php': 4.62, 'FeatureTools': 1.15, 'collaboration tools': 9.72, 'Matrix Factorization': 5.95, 'markdown': 9.02}"
79,10,1.28,7.15,3.68,"{'collaboration tools': 8.34, 'Augmentor': 2.46, 'Ansible': 5.25, 'jwt': 2.21, 'PostgreSQL': 2.34, 'firebase': 3.77, 'MarianMT': 6.38, 'YOLOv4': 3.46, 'nltk': 4.23, 'JUnit': 4.23}"
80,12,7.97,1.29,7.11,"{'Proximal Policy Optimization': 2.46, 'heroku': 4.64, 'jira': 0.93, 'scrum': 7.26, 'spaCy': 4.19, 'SQL': 9.68, 'ruby': 8.05, 'readthedocs': 3.85, 'PCA': 1.18, 'mysql': 3.76}"
81,6,8.5,6.14,2.29,"{'Apache Flink': 6.07, 'NLTK': 0.04, 'sass': 3.15, 'Praat': 3.91, 'PyTorch': 5.2, 'kubernetes': 4.28, 'LIWC': 6.79, 'JWT': 8.99, 'oracle': 3.54, 'redis': 8.78}"
82,6,2.94,6.46,0.91,"{'readthedocs': 5.87, 'spaCy': 2.21, 'apache spark': 9.74, 'api': 7.53, 'technical writing': 5.85, 'junit': 1.26, 'Jenkins': 2.24, 'kanban': 7.07, 'LDA': 9.9, 'CNN': 7.25}"
83,2,6.51,8.15,4.05,"{'nltk': 0.54, 'SQL': 8.45, 'api': 7.22, 'DALL-E': 3.59, 'GPT-2': 4.6, 'JWT': 3.43, 'Optuna': 2.56, 'elasticsearch': 2.83, 'Python': 0.34, 'sphinx': 7.56}"
84,19,0.01,2.04,8.23,"{'BorutaPy': 6.47, 'Sentence-BERT': 5.13, 'html': 0.42, 'GPT-3': 6.75, 'Zero-shot BERT': 5.59, 'GitLab': 2.27, 'OpenKE': 4.12, 'asciidoc': 8.88, 'asp.net': 2.32, 'TextBlob': 2.55}"
85,14,8.22,8.91,8.05,"{'angular': 1.85, 'aws': 8.04, 'microsoft project': 6.53, 'K-Means': 2.23, 'Tacotron': 4.47, 'Jenkins': 9.39, 'ci/cd': 7.82, 'Proximal Policy Optimization': 8.98, 'EfficientNet': 6.52, 'prometheus': 5.56}"
86,6,1.32,9.29,2.94,"{'Linear Regression': 7.39, 'DQN': 5.46, 'Stable Baselines': 9.58, 'UX': 7.76, 'api documentation': 8.03, 'materialize': 1.96, 'react': 6.03, 'storage': 8.56, 'monitoring': 2.03, 'spaCy': 8.69}"
87,8,3.64,7.48,1.79,"{'MLflow': 2.61, 'php': 9.88, 'Show and Tell': 7.79, 'foundation': 4.22, 'css': 3.63, 'jenkins': 5.41, 'Augmentor': 5.85, 'oracle': 7.61, 'FeatureTools': 2.09, 'jest': 2.71}"
88,14,1.01,0.11,6.97,"{'R': 3.61, 'UX': 9.19, 'PostgreSQL': 9.58, 'Rasa': 6.19, 'JIRA': 7.61, 'RandomForest': 0.66, 'AWS': 2.35, 'cypress': 3.76, 'Xception': 3.35, 'CatBoost': 7.09}"
89,13,3.85,9.5,3.51,"{'user manuals': 9.07, 'BM25': 3.79, 'html': 6.1, 'IsolationForest': 0.4, 'NetworkX': 6.4, 'mysql': 9.75, 'ESRGAN': 3.94, 'api documentation': 1.44, 'LightGBM': 1.15, 'RiskMatrix': 5.45}"
90,1,5.75,9.07,4.01,"{'scikit-multilearn': 2.89, 'DenseNet': 6.09, 'Prometheus': 9.63, 'ADTK': 5.07, 'storage': 4.79, 'LSTM': 6.23, 'user manuals': 1.28, 'Alibi Detect': 3.03, 'SV2TTS': 5.27, 'jira': 9.76}"
91,13,8.63,8.59,5.86,"{'jenkins': 0.48, 'terraform': 8.88, 'junit': 4.46, 'CatBoost': 3.01, 'readthedocs': 6.09, 'jest': 9.53, 'Jenkins': 6.22, 'sphinx': 7.74, 'Linear Regression': 8.29, 'monitoring': 3.97}"
92,4,6.12,7.41,9.27,"{'UserTesting': 4.67, 'FaceNet': 9.73, 'GPT-3': 2.22, 'Isolation Forest': 4.06, 'laravel': 7.04, 'scrum': 4.75, 'django': 5.19, 'Labelbox': 3.82, 'Praat': 9.6, 'GitLab': 7.9}"
93,16,7.36,8.26,9.7,"{'postgresql': 5.22, 'IsolationForest': 5.32, 'flask': 0.36, 'spaCy': 7.13, 'DeOldify': 5.65, 'ruby': 5.7, 'UI': 6.5, 'C++': 1.33, 'LDA': 7.39, 'Doc2Vec': 4.49}"
94,0,2.68,2.65,8.2,"{'DeepRecSys': 7.4, 'BorutaPy': 1.55, 'GitLab': 8.31, 'jquery': 8.31, 'sass': 2.1, 'pytest': 1.93, 'aws': 7.61, 'kubernetes': 3.47, 'MobileNet': 3.34, 'PyCaret': 5.13}"
95,5,1.01,9.46,5.2,"{'GitLab': 4.01, 'Polyglot': 7.58, 'Dlib': 8.42, 'H2O.ai': 3.87, 'user manuals': 9.45, 'RandomForest': 1.08, 'git': 9.03, 'kubernetes': 0.3, 'mysql': 8.3, 'Jenkins': 5.86}"
96,17,3.92,3.97,2.99,"{'TextBlob': 1.18, 'google cloud': 2.37, 'CNN': 5.68, 'WCAG': 3.08, 'Prometheus': 7.35, 'jenkins': 8.78, 'redis': 4.8, 'UserTesting': 7.18, 'LIWC': 4.23, 'spring boot': 7.76}"
97,18,3.41,0.76,7.06,"{'tensorflow': 7.31, 'TensorFlow-GAN': 2.91, 'mocha': 1.25, 'agile': 6.32, 'Stable Baselines': 8.43, 'GPT-2': 8.92, 'BioBERT': 9.42, 'Keras': 4.72, 'CRNN': 2.09, 'Wave-U-Net': 1.24}"
